_fid;anzahl;geschwindigkeit;von;bis;strichbreite;geom;coordinate_reference_system
DE.HH.UP_LETZTE_WOCHE_7614602;11;22.8;2025-03-17;2025-03-23;1.4;LINESTRING (565245.134748 5933689.730185,565280.081549 5933678.419018);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614603;10;21.1;2025-03-17;2025-03-23;1.3;LINESTRING (565334.988122 5933651.806805,565333.855624 5933652.236201,565316.663248 5933659.119400,565291.186046 5933670.895113,565280.081549 5933678.419018);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614604;9;21.8;2025-03-17;2025-03-23;1.2;LINESTRING (564597.253635 5933834.033530,564688.004522 5933826.709045,564734.169775 5933823.447728,564761.750744 5933822.379678,564767.383751 5933822.345720);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614605;9;20.9;2025-03-17;2025-03-23;1.2;LINESTRING (564407.913472 5933879.290720,564386.956090 5933885.458265,564372.377138 5933890.377693,564360.314263 5933895.442751);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614606;10;17.8;2025-03-17;2025-03-23;1.3;LINESTRING (561271.292681 5933948.676476,561301.057980 5933947.616601,561313.138718 5933945.993292,561318.520921 5933944.839297);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614607;14;19.3;2025-03-17;2025-03-23;1.7;LINESTRING (560403.752402 5933967.644547,560361.055944 5933969.546037,560319.075482 5933972.458461,560296.712218 5933975.065562,560250.888838 5933983.158994);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614608;13;19.0;2025-03-17;2025-03-23;1.6;LINESTRING (560205.550664 5933989.590067,560250.888838 5933983.158994);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614609;15;23.3;2025-03-17;2025-03-23;1.8;LINESTRING (570098.038075 5938827.068889,570088.544168 5938815.577903);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614610;15;22.8;2025-03-17;2025-03-23;1.8;LINESTRING (570075.936293 5938799.812286,570088.544168 5938815.577903);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614611;17;17.7;2025-03-17;2025-03-23;1.9;LINESTRING (570538.298731 5939372.197599,570528.358788 5939359.697538,570515.489178 5939343.926746,570511.519066 5939339.416425);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614612;22;20.7;2025-03-17;2025-03-23;2.3;LINESTRING (570781.136921 5939853.199122,570773.128731 5939822.367573,570769.267938 5939810.625950,570751.600531 5939757.506096);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614613;9;21.3;2025-03-17;2025-03-23;1.2;LINESTRING (570727.111816 5939717.859117,570729.223607 5939722.675544,570734.406316 5939734.548255,570751.600531 5939757.506096);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614614;14;17.3;2025-03-17;2025-03-23;1.7;LINESTRING (570738.700684 5939713.025901,570744.954806 5939728.475434,570751.600531 5939757.506096);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614615;11;21.3;2025-03-17;2025-03-23;1.4;LINESTRING (570888.967758 5940309.258136,570892.800170 5940327.230722);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614616;10;23.4;2025-03-17;2025-03-23;1.3;LINESTRING (570909.144566 5940384.448404,570892.800170 5940327.230722);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614617;14;18.8;2025-03-17;2025-03-23;1.7;LINESTRING (571319.936471 5941495.926697,571282.258893 5941445.616926,571273.984188 5941432.806502);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614618;11;15.5;2025-03-17;2025-03-23;1.4;LINESTRING (571260.179127 5941409.452706,571266.430313 5941420.452099,571269.264973 5941425.502302,571273.984188 5941432.806502);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614619;17;22.1;2025-03-17;2025-03-23;1.9;LINESTRING (568686.445538 5936882.846922,568702.321959 5936902.216853,568715.008835 5936922.319245);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614620;17;23.3;2025-03-17;2025-03-23;1.9;LINESTRING (568736.319171 5936964.133951,568715.008835 5936922.319245);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614621;9;11.4;2025-03-17;2025-03-23;1.2;LINESTRING (565076.771487 5924279.286480,565078.179995 5924283.088914,565084.839472 5924300.983154);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614622;12;17.5;2025-03-17;2025-03-23;1.5;LINESTRING (565904.057340 5933972.607637,565892.898250 5933969.781343);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614623;18;17.2;2025-03-17;2025-03-23;2.0;LINESTRING (565857.686474 5933957.384001,565892.898250 5933969.781343);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614624;21;18.1;2025-03-17;2025-03-23;2.3;LINESTRING (566593.979658 5934424.478025,566572.695404 5934411.492949);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614625;9;11.1;2025-03-17;2025-03-23;1.2;LINESTRING (566501.957924 5934381.454075,566482.433225 5934365.823756);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614626;13;13.9;2025-03-17;2025-03-23;1.6;LINESTRING (566597.444306 5934240.042451,566592.632428 5934247.652115,566581.276882 5934263.514632,566552.749237 5934298.940852,566531.273147 5934323.005933,566505.392138 5934349.345670);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614627;13;11.9;2025-03-17;2025-03-23;1.6;LINESTRING (565892.683617 5934094.288217,565892.320748 5934101.293090);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614628;26;12.0;2025-03-17;2025-03-23;2.6;LINESTRING (565892.237196 5934131.000717,565891.911168 5934125.877795,565892.255500 5934105.965472,565892.320748 5934101.293090);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614629;10;10.2;2025-03-17;2025-03-23;1.3;LINESTRING (565784.455347 5934761.170298,565790.203889 5934781.278876);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614630;9;15.2;2025-03-17;2025-03-23;1.2;LINESTRING (565524.509947 5934816.302490,565532.180432 5934836.437429);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614631;9;14.1;2025-03-17;2025-03-23;1.2;LINESTRING (564896.006351 5934554.478618,564898.945942 5934557.523304,564917.433839 5934576.582037);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614632;9;19.1;2025-03-17;2025-03-23;1.2;LINESTRING (565145.689495 5934758.314542,565109.581895 5934739.122927,565096.764901 5934731.713589,565084.480856 5934724.089102,565073.974515 5934717.268049,565063.873258 5934709.896265,565050.432059 5934699.696733,565036.274425 5934688.597215,565023.503180 5934677.850656);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614633;10;19.9;2025-03-17;2025-03-23;1.3;LINESTRING (565023.503180 5934677.850656,565019.639441 5934674.570615,565001.520669 5934657.630649,564917.433839 5934576.582037);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614634;9;12.5;2025-03-17;2025-03-23;1.2;LINESTRING (567838.354231 5934393.358908,567851.472945 5934374.965472);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614635;9;25.5;2025-03-17;2025-03-23;1.2;LINESTRING (567280.915362 5941262.212129,567239.201938 5941315.359939);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614636;9;22.9;2025-03-17;2025-03-23;1.2;LINESTRING (567187.967908 5941391.293994,567196.165398 5941377.835965,567204.079288 5941365.709151,567239.201938 5941315.359939);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614637;9;23.3;2025-03-17;2025-03-23;1.2;LINESTRING (567352.299715 5941174.661307,567324.631692 5941207.869336);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614638;11;20.3;2025-03-17;2025-03-23;1.4;LINESTRING (568198.680208 5941666.648931,568243.638064 5941686.884330);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614639;11;22.5;2025-03-17;2025-03-23;1.4;LINESTRING (568267.562302 5941697.690785,568243.638064 5941686.884330);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614640;13;20.5;2025-03-17;2025-03-23;1.6;LINESTRING (571035.076722 5940722.278870,571040.497317 5940748.954847);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614641;15;21.1;2025-03-17;2025-03-23;1.8;LINESTRING (571042.828279 5940761.118751,571045.807356 5940774.182619,571051.451468 5940799.192895,571064.128426 5940836.104244);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614642;15;19.0;2025-03-17;2025-03-23;1.8;LINESTRING (571078.344546 5940867.475231,571064.128426 5940836.104244);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614643;13;22.4;2025-03-17;2025-03-23;1.6;LINESTRING (571346.347209 5941534.382329,571319.936471 5941495.926697);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614644;12;18.9;2025-03-17;2025-03-23;1.5;LINESTRING (571177.162871 5941110.764136,571188.582199 5941143.205950);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614645;16;15.1;2025-03-17;2025-03-23;1.9;LINESTRING (571194.820313 5941181.355629,571192.523102 5941162.627035,571188.582199 5941143.205950);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614646;13;19.9;2025-03-17;2025-03-23;1.6;LINESTRING (571087.393487 5940886.083142,571113.770166 5940944.677179,571120.682812 5940960.137253);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614647;9;10.8;2025-03-17;2025-03-23;1.2;LINESTRING (571131.611854 5940876.180091,571115.355309 5940879.161419,571087.393487 5940886.083142);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614648;13;20.5;2025-03-17;2025-03-23;1.6;LINESTRING (571566.272241 5941860.190782,571541.316537 5941813.299163);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614649;13;21.2;2025-03-17;2025-03-23;1.6;LINESTRING (571514.608298 5941764.155599,571541.316537 5941813.299163);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614650;11;21.5;2025-03-17;2025-03-23;1.4;LINESTRING (571686.417051 5942111.716599,571696.046098 5942131.002304,571706.575548 5942151.970852,571708.117055 5942154.998721,571708.758078 5942156.343770);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614651;11;22.8;2025-03-17;2025-03-23;1.4;LINESTRING (571720.225214 5942185.227051,571717.383027 5942176.393138,571708.758078 5942156.343770);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614652;11;18.9;2025-03-17;2025-03-23;1.4;LINESTRING (572044.712822 5943177.848542,572023.768743 5943133.240902,572021.590397 5943128.645330);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614653;11;21.3;2025-03-17;2025-03-23;1.4;LINESTRING (572306.813626 5943750.257014,572286.998713 5943705.665401);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614654;12;22.7;2025-03-17;2025-03-23;1.5;LINESTRING (571729.229920 5942210.734629,571744.651237 5942279.625411,571750.492983 5942317.324898);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614655;10;22.4;2025-03-17;2025-03-23;1.3;LINESTRING (571758.001482 5942362.838954,571750.492983 5942317.324898);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614656;11;15.2;2025-03-17;2025-03-23;1.4;LINESTRING (568791.649949 5938563.015650,568763.063843 5938562.153281,568754.990703 5938561.924194,568745.264522 5938561.559730);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614657;22;23.7;2025-03-17;2025-03-23;2.3;LINESTRING (568633.670083 5938542.018173,568732.190411 5938559.254837,568735.425441 5938559.858386,568745.264522 5938561.559730);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614658;11;14.7;2025-03-17;2025-03-23;1.4;LINESTRING (570119.800436 5936727.694874,570122.647473 5936709.933770,570123.091080 5936706.824765,570125.353781 5936683.825208);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614659;10;17.7;2025-03-17;2025-03-23;1.3;LINESTRING (570127.715762 5936649.699974,570126.795461 5936662.593785,570126.389931 5936667.594973,570125.353781 5936683.825208);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614660;11;22.6;2025-03-17;2025-03-23;1.4;LINESTRING (569314.416988 5937736.253228,569318.425487 5937747.328045,569327.329920 5937772.161255);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614661;10;20.9;2025-03-17;2025-03-23;1.3;LINESTRING (568473.597165 5941746.082457,568476.835095 5941741.789973,568480.100547 5941735.606275,568484.521177 5941727.325227,568486.144651 5941715.776606);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614662;11;24.5;2025-03-17;2025-03-23;1.4;LINESTRING (568520.867707 5941716.393250,568486.144651 5941715.776606);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614663;10;21.7;2025-03-17;2025-03-23;1.3;LINESTRING (569012.989503 5941726.476396,569033.822648 5941726.893183);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614664;11;22.3;2025-03-17;2025-03-23;1.4;LINESTRING (569271.980826 5941731.727562,569322.311689 5941732.691131,569329.135795 5941732.012740,569334.845321 5941730.650308,569341.231022 5941728.296396);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614665;11;23.7;2025-03-17;2025-03-23;1.4;LINESTRING (569683.913211 5941728.906520,569694.826672 5941729.068108,569713.940117 5941729.462442,569730.168243 5941732.595913);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614666;9;23.5;2025-03-17;2025-03-23;1.2;LINESTRING (569752.091555 5941744.270528,569741.468865 5941737.881869,569730.168243 5941732.595913);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614667;10;20.8;2025-03-17;2025-03-23;1.3;LINESTRING (569853.401252 5941747.108273,569798.111221 5941737.052423);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614668;10;21.3;2025-03-17;2025-03-23;1.3;LINESTRING (569910.872132 5941761.759337,569902.973123 5941759.082751,569853.401252 5941747.108273);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614669;10;21.7;2025-03-17;2025-03-23;1.3;LINESTRING (569941.482570 5941772.006078,569976.486314 5941784.877603,570009.902432 5941802.176672);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614670;9;21.5;2025-03-17;2025-03-23;1.2;LINESTRING (570392.787923 5941852.507922,570380.803177 5941853.218869,570357.746362 5941855.544679,570326.893310 5941857.197737);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614671;9;22.5;2025-03-17;2025-03-23;1.2;LINESTRING (570644.796701 5941776.056170,570566.663407 5941776.219343,570534.647555 5941789.203433,570512.530263 5941799.442933);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614672;9;22.7;2025-03-17;2025-03-23;1.2;LINESTRING (570475.465854 5941818.249237,570512.530263 5941799.442933);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614673;9;21.7;2025-03-17;2025-03-23;1.2;LINESTRING (570681.229047 5941777.382055,570644.796701 5941776.056170);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614674;9;20.6;2025-03-17;2025-03-23;1.2;LINESTRING (570753.599686 5941777.690515,570715.427609 5941777.673205);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614675;9;20.7;2025-03-17;2025-03-23;1.2;LINESTRING (570825.800308 5941758.524784,570796.403357 5941777.666528);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614676;9;20.6;2025-03-17;2025-03-23;1.2;LINESTRING (570763.983921 5941777.846630,570796.403357 5941777.666528);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614677;12;18.4;2025-03-17;2025-03-23;1.5;LINESTRING (570953.811657 5941688.459269,570939.376141 5941711.275166);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614678;12;19.7;2025-03-17;2025-03-23;1.5;LINESTRING (568415.770953 5941760.151933,568437.052554 5941757.011911,568444.408838 5941756.117436,568450.905283 5941755.210468);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614679;13;21.0;2025-03-17;2025-03-23;1.6;LINESTRING (568450.905283 5941755.210468,568463.840130 5941752.839357,568473.597165 5941746.082457);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614680;9;19.8;2025-03-17;2025-03-23;1.2;LINESTRING (567521.842647 5941398.408048,567513.000613 5941392.161319,567497.258661 5941378.026693,567424.460952 5941310.220842);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614681;9;20.0;2025-03-17;2025-03-23;1.2;LINESTRING (567361.753411 5941253.798905,567384.568555 5941273.041492,567424.460952 5941310.220842);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614682;10;20.2;2025-03-17;2025-03-23;1.3;LINESTRING (567632.826680 5941506.599037,567672.894359 5941545.118364,567701.572328 5941575.128878,567706.399784 5941579.871703);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614683;10;20.0;2025-03-17;2025-03-23;1.3;LINESTRING (567706.399784 5941579.871703,567751.609900 5941624.140536,567780.914207 5941651.935150);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614684;10;19.6;2025-03-17;2025-03-23;1.3;LINESTRING (567944.228636 5942015.810268,567942.952162 5942008.002846,567940.366927 5941967.128947,567943.383751 5941895.625041,567942.927921 5941881.375732,567942.071020 5941876.578696);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614685;10;21.1;2025-03-17;2025-03-23;1.3;LINESTRING (567942.071020 5941876.578696,567941.396477 5941872.897005,567937.846801 5941862.163719,567930.636298 5941843.811149,567919.781261 5941821.288958,567906.149799 5941798.615466,567882.931811 5941766.345685,567873.884137 5941756.089517);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614686;10;19.0;2025-03-17;2025-03-23;1.3;LINESTRING (567873.884137 5941756.089517,567837.104180 5941714.611452,567812.570880 5941686.328848,567780.914207 5941651.935150);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614687;10;19.0;2025-03-17;2025-03-23;1.3;LINESTRING (570299.602483 5939670.287941,570303.732319 5939686.261506);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614688;10;21.3;2025-03-17;2025-03-23;1.3;LINESTRING (566019.856298 5940060.109688,565989.182990 5940010.498445);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614689;9;20.4;2025-03-17;2025-03-23;1.2;LINESTRING (565984.669839 5940001.978690,565989.182990 5940010.498445);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614690;11;17.6;2025-03-17;2025-03-23;1.4;LINESTRING (565989.293848 5940035.647013,565987.258134 5940043.963736,565984.415974 5940053.159321);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614691;12;23.1;2025-03-17;2025-03-23;1.5;LINESTRING (565974.921310 5940074.278860,565979.088303 5940064.990562,565984.415974 5940053.159321);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614692;10;23.1;2025-03-17;2025-03-23;1.3;LINESTRING (565953.062636 5940151.305309,565957.905420 5940122.109132);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614693;9;21.6;2025-03-17;2025-03-23;1.2;LINESTRING (565964.406925 5940102.060333,565961.947085 5940107.589376,565957.905420 5940122.109132);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614694;16;23.7;2025-03-17;2025-03-23;1.9;LINESTRING (565953.579538 5940213.623740,565951.116973 5940191.001444,565950.450148 5940167.736678);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614695;15;25.9;2025-03-17;2025-03-23;1.8;LINESTRING (566042.839711 5940436.190882,566039.801965 5940431.029853,566031.336249 5940416.557290,566025.260699 5940406.235250);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614696;9;25.1;2025-03-17;2025-03-23;1.2;LINESTRING (566018.691712 5940393.347089,566025.260699 5940406.235250);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614697;14;24.7;2025-03-17;2025-03-23;1.7;LINESTRING (566099.189543 5940518.431288,566137.355426 5940561.917493);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614698;15;23.9;2025-03-17;2025-03-23;1.8;LINESTRING (566277.233291 5940684.723816,566246.254324 5940662.033793,566213.394049 5940636.647041,566171.131323 5940597.553415,566137.355426 5940561.917493);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614699;15;19.8;2025-03-17;2025-03-23;1.8;LINESTRING (566253.690810 5940754.270181,566287.951688 5940717.699430,566291.848259 5940713.526022,566303.202533 5940701.334904);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614700;9;18.4;2025-03-17;2025-03-23;1.2;LINESTRING (566360.234699 5940640.717197,566346.152340 5940658.655794,566320.516870 5940684.109330,566312.395987 5940692.228946,566303.202533 5940701.334904);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614701;10;13.9;2025-03-17;2025-03-23;1.3;LINESTRING (566829.306912 5940795.230240,566802.643714 5940781.054302,566767.276138 5940769.425565);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614702;10;19.5;2025-03-17;2025-03-23;1.3;LINESTRING (566743.989535 5940764.422031,566767.276138 5940769.425565);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614703;11;19.3;2025-03-17;2025-03-23;1.4;LINESTRING (566917.335025 5940835.425277,566894.020908 5940823.076741,566829.306912 5940795.230240);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614704;11;22.8;2025-03-17;2025-03-23;1.4;LINESTRING (567158.826171 5940994.642882,567119.844662 5940967.493257);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614705;11;12.8;2025-03-17;2025-03-23;1.4;LINESTRING (569533.746643 5939474.430554,569533.819097 5939456.071789);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614706;10;17.5;2025-03-17;2025-03-23;1.3;LINESTRING (569533.845160 5939391.534575,569533.819097 5939456.071789);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614707;9;20.8;2025-03-17;2025-03-23;1.2;LINESTRING (566384.647009 5940594.105271,566392.851716 5940533.133575,566395.235745 5940518.924597,566398.281648 5940509.398305,566399.667580 5940504.967038,566402.382971 5940500.109439,566406.251314 5940493.265237);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614708;9;18.8;2025-03-17;2025-03-23;1.2;LINESTRING (566352.615935 5940458.237880,566393.006374 5940484.621920,566396.350693 5940486.783212,566406.251314 5940493.265237);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614709;9;19.3;2025-03-17;2025-03-23;1.2;LINESTRING (565723.217943 5938686.452641,565717.854436 5938681.815770,565711.772197 5938676.501264,565705.295939 5938670.958731,565701.092695 5938668.563454,565697.606621 5938666.957067,565690.351114 5938665.075586);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614710;13;19.8;2025-03-17;2025-03-23;1.6;LINESTRING (565400.042135 5937441.413682,565400.011262 5937443.638638,565400.920934 5937449.659799,565402.494164 5937455.578898,565406.094942 5937463.306441);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614711;10;24.3;2025-03-17;2025-03-23;1.3;LINESTRING (565467.095679 5937190.319747,565470.805782 5937137.740940,565471.221797 5937131.626912,565472.263499 5937113.838308);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614712;13;23.8;2025-03-17;2025-03-23;1.6;LINESTRING (565477.272276 5936986.838459,565477.619368 5937004.757619,565477.637674 5937008.207218,565477.721712 5937021.226880,565477.348238 5937038.579687,565476.426562 5937057.260109,565473.888944 5937092.163390,565473.394356 5937099.166480,565472.263499 5937113.838308);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614713;9;13.0;2025-03-17;2025-03-23;1.2;LINESTRING (565431.008792 5936431.519570,565443.788509 5936431.696939,565448.091014 5936431.867930,565467.027286 5936432.242095);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614714;11;12.3;2025-03-17;2025-03-23;1.4;LINESTRING (565466.828532 5936470.404631,565466.686114 5936452.043254,565466.764893 5936446.369625,565467.027286 5936432.242095);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614715;16;15.2;2025-03-17;2025-03-23;1.9;LINESTRING (565100.498680 5938605.148122,565116.021685 5938617.157178);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614716;22;21.0;2025-03-17;2025-03-23;2.3;LINESTRING (565290.261623 5937111.313921,565290.007430 5937124.885232,565289.901110 5937132.561328,565287.899822 5937248.364767);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614717;22;21.3;2025-03-17;2025-03-23;2.3;LINESTRING (565287.899822 5937248.364767,565285.910804 5937368.062816,565282.563517 5937385.040634);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614718;10;22.0;2025-03-17;2025-03-23;1.3;LINESTRING (565144.426066 5937381.126555,565263.963628 5937384.560516,565282.563517 5937385.040634);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614719;19;19.7;2025-03-17;2025-03-23;2.1;LINESTRING (565379.069676 5937401.955961,565340.219820 5937391.069202,565297.634624 5937386.918437,565282.563517 5937385.040634);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614720;13;21.0;2025-03-17;2025-03-23;1.6;LINESTRING (565225.498361 5937570.737687,565276.731324 5937404.543231,565282.563517 5937385.040634);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614721;20;20.2;2025-03-17;2025-03-23;2.2;LINESTRING (565291.904276 5936983.154669,565291.649988 5937006.295118,565291.545210 5937013.859965,565290.552898 5937085.503522,565290.415761 5937095.404573,565290.261623 5937111.313921);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614722;9;19.8;2025-03-17;2025-03-23;1.2;LINESTRING (565166.704748 5937110.716869,565271.131001 5937110.826447,565274.505997 5937110.984450,565290.261623 5937111.313921);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614723;20;21.8;2025-03-17;2025-03-23;2.2;LINESTRING (565295.195303 5936764.667796,565293.549796 5936873.911224);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614724;20;20.8;2025-03-17;2025-03-23;2.2;LINESTRING (565293.549796 5936873.911224,565292.318716 5936958.013596,565292.203152 5936966.357177,565291.904276 5936983.154669);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614725;20;21.1;2025-03-17;2025-03-23;2.2;LINESTRING (565297.843649 5936606.924977,565297.644886 5936621.275929,565297.480062 5936628.394864,565295.662167 5936730.959740,565295.495760 5936742.974492,565295.195303 5936764.667796);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614726;12;19.8;2025-03-17;2025-03-23;1.5;LINESTRING (565159.439095 5936414.628933,565274.250535 5936421.557925,565300.455229 5936423.144741);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614727;29;15.3;2025-03-17;2025-03-23;2.8;LINESTRING (565253.472101 5936286.301060,565272.125556 5936345.420528,565291.711739 5936399.323359,565295.732401 5936410.283399,565300.455229 5936423.144741);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614728;21;18.9;2025-03-17;2025-03-23;2.3;LINESTRING (565299.036179 5936525.603841,565300.079283 5936450.289170,565300.233359 5936439.164404,565300.455229 5936423.144741);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614729;13;17.5;2025-03-17;2025-03-23;1.6;LINESTRING (565366.294126 5936427.395130,565323.680178 5936424.690420,565320.240017 5936424.420220,565300.455229 5936423.144741);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614730;18;18.6;2025-03-17;2025-03-23;2.0;LINESTRING (565171.825193 5936074.317291,565185.320925 5936099.428063);EPSG:25832
DE.HH.UP_LETZTE_WOCHE_7614731;19;18.1;2025-03-17;2025-03-23;2.1;LINESTRING (565203.877311 5936146.528827,565198.659534 5936131.101570,565195.650234 5936123.604946,565185.320925 5936099.428063);EPSG:25832
